data_ZnMgTm

loop_ 
 _refln_index_h1 
 _refln_index_h2 
 _refln_index_h3
 _refln_index_h4 
 _refln_index_h5
 _refln_index_h6  
 _refln_F_obs 
 _refln_F_calc
 _refln_dExt

0	0	0	0	-1	0	1.0000	1.1144	0.9222
1	0	0	-1	0	0	0.9514	1.0792	0.9184
0	1	0	-1	0	0	0.9209	0.8426	0.8335
0	2	0	0	0	0	0.9026	0.7510	0.7914
0	0	1	0	0	2	0.4866	0.4595	0.9613
0	2	0	0	2	0	0.4389	0.4129	0.9560
0	-1	0	2	0	0	0.4360	0.4074	0.9290
0	2	0	0	0	2	0.4255	0.3744	0.8808
2	0	0	-1	-1	0	0.4178	0.4183	0.9673
0	-2	1	1	0	0	0.3881	0.3693	0.9428
-1	0	0	-1	-2	0	0.3830	0.3527	0.9130
-1	0	0	-2	0	1	0.3746	0.3498	0.9332
0	0	1	-1	0	-2	0.3715	0.3597	0.9620
0	1	-2	0	0	-1	0.3487	0.3730	0.9887
-1	1	-1	1	1	-1	0.3461	0.2980	0.9929
0	1	1	-1	1	-1	0.3389	0.3215	0.9923
1	1	0	-1	-1	0	0.2768	0.2758	0.9755
0	0	1	1	-1	-1	0.2728	0.2689	0.9688
1	0	1	1	0	0	0.2703	0.2687	0.9773
1	0	1	0	1	0	0.2396	0.2422	0.9878
1	0	-1	-1	1	0	0.2342	0.2477	0.9868
0	-1	0	2	0	-2	0.2211	0.2130	0.9550
-2	0	0	-2	-2	0	0.2180	0.2180	0.9261
0	0	0	0	3	0	0.2169	0.2074	0.9783
0	0	-2	2	0	1	0.2120	0.2095	0.9871
-1	0	0	-1	1	0	0.2095	0.2107	0.9951
1	0	2	0	-2	0	0.2077	0.2018	0.9703
-1	-2	0	0	-2	0	0.2071	0.2014	0.9796
0	2	-2	-2	0	0	0.2065	0.1978	0.9634
1	0	0	1	-1	1	0.2029	0.2270	0.9940
0	-2	0	2	1	-1	0.1998	0.1962	0.9519
0	0	-2	-2	1	1	0.1935	0.1906	0.9599
0	1	-2	0	1	2	0.1933	0.1869	0.9661
0	1	0	2	2	0	0.1894	0.1853	0.9829
0	2	1	0	-1	2	0.1886	0.1825	0.9719
0	-2	-1	0	1	2	0.1874	0.1807	0.9725
-1	1	-1	4	-1	1	0.1858	0.1848	0.9944
1	0	1	-1	-1	1	0.1856	0.1743	0.9919
0	1	2	2	1	0	0.1803	0.1743	0.9780
2	0	0	1	2	-1	0.1796	0.1744	0.9745
0	2	-2	-1	-1	0	0.1796	0.1749	0.9813
